2024-09-05 14:45:53.079 [info] Default formatter is set to null for workspace /home/ardyop7
2024-09-05 14:45:53.079 [info] Test server listening.
2024-09-05 14:45:53.079 [info] Python interpreter path: /bin/python
2024-09-05 14:45:53.442 [info] > pyenv which python
2024-09-05 14:45:53.443 [info] cwd: .
2024-09-05 14:45:56.556 [info] Starting Jedi language server for ardyop7.
2024-09-05 14:46:08.386 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:46:25.598 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:46:35.810 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:46:36.423 [info] > /bin/python /google/devshell/editor/code-oss-for-cloud-shell/extensions/ms-python.python/python_files/normalizeSelection.py
2024-09-05 14:46:36.849 [info] Send text to terminal: /bin/python
2024-09-05 14:46:38.931 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:46:40.951 [info] Selected file contains invalid Python or Deprecated Python 2 code
2024-09-05 14:46:50.695 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:46:59.643 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:04.017 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:10.791 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:15.161 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:18.796 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:54.292 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:57.773 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:47:59.360 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:02.208 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:05.133 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:09.697 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:15.396 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:16.847 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:22.356 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:23.552 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:25.222 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:48:59.476 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:49:14.620 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:49:21.832 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:49:24.192 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:49:25.266 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:50:30.754 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:50:33.986 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:51:18.846 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:22.116 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:31.553 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:36.531 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:38.362 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:43.199 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:52.073 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:53.615 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:56.678 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:51:59.821 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:52:06.875 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:52:08.644 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:52:15.408 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:52:20.082 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:52:21.250 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:52:55.648 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:53:03.295 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:53:04.993 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:53:11.797 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:53:13.199 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:53:16.514 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:54:13.316 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:54:16.174 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:54:24.551 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:32.485 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:37.375 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:38.881 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:42.961 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:46.020 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:51.696 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:54:55.291 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:01.480 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:08.887 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:17.278 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:18.598 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:24.299 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:27.270 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:28.370 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:55:53.152 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:18.749 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:20.325 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:32.032 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:41.526 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:43.366 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:45.633 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:56:47.319 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:57:17.952 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:58:36.859 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:58:41.570 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:58:43.544 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 14:59:47.935 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:59:56.698 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 14:59:59.898 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:00:02.874 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:00:15.264 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:00:47.201 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:01:21.966 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:01:42.086 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:01:56.091 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:02:12.243 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:02:13.708 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:02:15.223 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:02:17.905 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:02:19.503 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:02:24.589 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:20.501 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
